images,x,y,labels,species
L_07_05_16_DSC00126.JPG,2504,392,3,kob
L_07_05_16_DSC00126.JPG,1726.5,458.5,3,kob
L_07_05_16_DSC00127.JPG,2626.5,2337.5,3,kob
L_07_05_16_DSC00127.JPG,1818,2462.5,3,kob
L_07_05_16_DSC00150.JPG,1539,1411,2,buffalo
L_07_05_16_DSC00150.JPG,1121,1377.5,2,buffalo
L_07_05_16_DSC00150.JPG,939.5,1413.5,2,buffalo
L_07_05_16_DSC00150.JPG,869.5,1501,2,buffalo
L_07_05_16_DSC00150.JPG,1193,884.5,2,buffalo
L_07_05_16_DSC00150.JPG,1244,745,2,buffalo
L_07_05_16_DSC00150.JPG,1075.5,545,2,buffalo
L_07_05_16_DSC00150.JPG,1475.5,486,2,buffalo
L_07_05_16_DSC00150.JPG,1381,329.5,2,buffalo
L_07_05_16_DSC00151.JPG,1581,3776,2,buffalo
L_07_05_16_DSC00151.JPG,1122,3700.5,2,buffalo
L_07_05_16_DSC00151.JPG,925,3736,2,buffalo
L_07_05_16_DSC00151.JPG,834.5,3836,2,buffalo
L_07_05_16_DSC00151.JPG,1216.5,3183,2,buffalo
L_07_05_16_DSC00151.JPG,1506,2748.5,2,buffalo
L_07_05_16_DSC00151.JPG,1316,2991.5,2,buffalo
L_07_05_16_DSC00151.JPG,1120.5,2794,2,buffalo
L_07_05_16_DSC00151.JPG,1411,2592.5,2,buffalo
L_07_05_16_DSC00151.JPG,1137,1819.5,4,elephant
L_07_05_16_DSC00151.JPG,957,1694.5,4,elephant
L_07_05_16_DSC00151.JPG,1552,30.5,5,warthog
L_07_05_16_DSC00152.JPG,1268,3866.5,4,elephant
L_07_05_16_DSC00152.JPG,1088.5,3735,4,elephant
L_07_05_16_DSC00152.JPG,1684.5,2032,5,warthog
L_07_05_16_DSC00162.JPG,798,52,1,topi
L_07_05_16_DSC00163.JPG,740,2202,1,topi
L_07_05_16_DSC00197.JPG,1223.5,678.5,2,buffalo
L_07_05_16_DSC00197.JPG,668,744,2,buffalo
L_07_05_16_DSC00197.JPG,3750.5,1367,2,buffalo
L_07_05_16_DSC00198.JPG,3893.5,3662,2,buffalo
L_07_05_16_DSC00198.JPG,1317,3073,2,buffalo
L_07_05_16_DSC00198.JPG,785.5,3161,2,buffalo
L_07_05_16_DSC00198.JPG,60,3256.5,2,buffalo
L_07_05_16_DSC00257.JPG,5737,433,3,kob
L_07_05_16_DSC00257.JPG,5719,391,3,kob
L_07_05_16_DSC00258.JPG,5919.5,2581,3,kob
L_07_05_16_DSC00258.JPG,5905.5,2531,3,kob
L_07_05_16_DSC00259.JPG,5527,1583,3,kob
L_07_05_16_DSC00270.JPG,3182.5,2237,1,topi
L_07_05_16_DSC00271.JPG,192.5,1322.5,1,topi
L_07_05_16_DSC00279.JPG,3411.5,358,1,topi
L_07_05_16_DSC00280.JPG,3528,2416,1,topi
L_07_05_16_DSC00286.JPG,4907.5,918.5,2,buffalo
L_07_05_16_DSC00287.JPG,5186.5,3270.5,2,buffalo
L_07_05_16_DSC00313.JPG,2939,366.5,3,kob
L_07_05_16_DSC00314.JPG,3132,2550,3,kob
L_07_05_16_DSC00350.JPG,3572.5,1327,3,kob
L_07_05_16_DSC00350.JPG,525.5,199.5,1,topi
L_07_05_16_DSC00351.JPG,4100.5,3604.5,3,kob
L_07_05_16_DSC00351.JPG,1036,2497,1,topi
L_07_05_16_DSC00361.JPG,2626,1788,3,kob
L_07_05_16_DSC00362.JPG,4854,2070,3,kob
L_07_05_16_DSC00362.JPG,5043.5,700.5,1,topi
L_07_05_16_DSC00362.JPG,4971,668.5,1,topi
L_07_05_16_DSC00362.JPG,4035,665.5,1,topi
L_07_05_16_DSC00363.JPG,1986,2161.5,3,kob
L_07_05_16_DSC00363.JPG,5844,3244,1,topi
L_07_05_16_DSC00363.JPG,5766,3219.5,1,topi
L_07_05_16_DSC00363.JPG,4705.5,3118,1,topi
L_07_05_16_DSC00363.JPG,5606,2343,1,topi
L_07_05_16_DSC00364.JPG,5644,1676.5,1,topi
L_07_05_16_DSC00365.JPG,5774.5,3670.5,1,topi
L_07_05_16_DSC00368.JPG,3920.5,478.5,3,kob
L_07_05_16_DSC00369.JPG,4177,2476.5,3,kob
L_07_05_16_DSC00369.JPG,50,135,3,kob
L_07_05_16_DSC00414.JPG,5868,1012.5,2,buffalo
L_07_05_16_DSC00414.JPG,5841.5,985.5,2,buffalo
L_07_05_16_DSC00414.JPG,5733,1015.5,2,buffalo
L_07_05_16_DSC00414.JPG,5362.5,773.5,2,buffalo
L_07_05_16_DSC00414.JPG,5490,668.5,2,buffalo
