images,labels,base_images,x,y,species
000113a692ba61cd55ea3acb9c2f9c41709710a1_0.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,375,236.5,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_0.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,430,462,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,228.5,294,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,23,236.5,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_1.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,78,462,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_16.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,430,110,waterbuck
000113a692ba61cd55ea3acb9c2f9c41709710a1_17.JPG,6,000113a692ba61cd55ea3acb9c2f9c41709710a1.JPG,78,110,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,483.5,384,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,459.5,415,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,446.5,338.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,497,236.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_65.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,493.5,277.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,131.5,384,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,107.5,415,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,94.5,338.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,145,236.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_66.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,141.5,277.5,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_81.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,483.5,32,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_81.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,459.5,63,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_82.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,131.5,32,waterbuck
002296711c356eca5bf02af0beaa0723ca2e5577_82.JPG,6,002296711c356eca5bf02af0beaa0723ca2e5577.JPG,107.5,63,waterbuck
003aa29b4a39911e544d542fc10d9d53819e1499_2.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,390.5,379,waterbuck
003aa29b4a39911e544d542fc10d9d53819e1499_3.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,38.5,379,waterbuck
003aa29b4a39911e544d542fc10d9d53819e1499_18.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,390.5,27,waterbuck
003aa29b4a39911e544d542fc10d9d53819e1499_19.JPG,6,003aa29b4a39911e544d542fc10d9d53819e1499.JPG,38.5,27,waterbuck
0069b92ae68b7c9a91496d90b4306b51cc3974b0_123.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,187,507.5,waterbuck
0069b92ae68b7c9a91496d90b4306b51cc3974b0_139.JPG,6,0069b92ae68b7c9a91496d90b4306b51cc3974b0.JPG,187,155.5,waterbuck
